Category,Pattern,Problem,URL
"I. Two Pointer Patterns","Pattern 5: Two Pointers - String Comparison","1598. Crawler Log Folder","https://leetcode.com/problems/crawler-log-folder/"
"I. Two Pointer Patterns","Pattern 5: Two Pointers - String Comparison","2390. Removing Stars From a String","https://leetcode.com/problems/removing-stars-from-a-string/"
"I. Two Pointer Patterns","Pattern 6: Two Pointers - Expanding From Center (Palindromes)","5. Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring/"
"I. Two Pointer Patterns","Pattern 6: Two Pointers - Expanding From Center (Palindromes)","647. Palindromic Substrings","https://leetcode.com/problems/palindromic-substrings/"
"I. Two Pointer Patterns","Pattern 6: Two Pointers - Expanding From Center (Palindromes)","9. Palindrome Number","https://leetcode.com/problems/palindrome-number/"
"I. Two Pointer Patterns","Pattern 6: Two Pointers - Expanding From Center (Palindromes)","131. Palindrome Partitioning","https://leetcode.com/problems/palindrome-partitioning/"
"I. Two Pointer Patterns","Pattern 6: Two Pointers - Expanding From Center (Palindromes)","132. Palindrome Partitioning II","https://leetcode.com/problems/palindrome-partitioning-ii/"
"I. Two Pointer Patterns","Pattern 7: Two Pointers - String Reversal","151. Reverse Words in a String","https://leetcode.com/problems/reverse-words-in-a-string/"
"I. Two Pointer Patterns","Pattern 7: Two Pointers - String Reversal","344. Reverse String","https://leetcode.com/problems/reverse-string/"
"I. Two Pointer Patterns","Pattern 7: Two Pointers - String Reversal","345. Reverse Vowels of a String","https://leetcode.com/problems/reverse-vowels-of-a-string/"
"I. Two Pointer Patterns","Pattern 7: Two Pointers - String Reversal","541. Reverse String II","https://leetcode.com/problems/reverse-string-ii/"
"II. Sliding Window Patterns","Pattern 8: Sliding Window - Fixed Size (Subarray Calculation)","346. Moving Average from Data Stream","https://leetcode.com/problems/moving-average-from-data-stream/"
"II. Sliding Window Patterns","Pattern 8: Sliding Window - Fixed Size (Subarray Calculation)","643. Maximum Average Subarray I","https://leetcode.com/problems/maximum-average-subarray-i/"
"II. Sliding Window Patterns","Pattern 8: Sliding Window - Fixed Size (Subarray Calculation)","2985. Calculate Compressed Mean","https://leetcode.com/problems/calculate-compressed-mean/"
"II. Sliding Window Patterns","Pattern 8: Sliding Window - Fixed Size (Subarray Calculation)","3254. Find the Power of K-Size Subarrays I","https://leetcode.com/problems/find-the-power-of-k-size-subarrays-i/"
"II. Sliding Window Patterns","Pattern 8: Sliding Window - Fixed Size (Subarray Calculation)","3318. Find X-Sum of All K-Long Subarrays I","https://leetcode.com/problems/find-x-sum-of-all-k-long-subarrays-i/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","3. Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","76. Minimum Window Substring","https://leetcode.com/problems/minimum-window-substring/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","209. Minimum Size Subarray Sum","https://leetcode.com/problems/minimum-size-subarray-sum/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","219. Contains Duplicate II","https://leetcode.com/problems/contains-duplicate-ii/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","424. Longest Repeating Character Replacement","https://leetcode.com/problems/longest-repeating-character-replacement/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","713. Subarray Product Less Than K","https://leetcode.com/problems/subarray-product-less-than-k/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","904. Fruit Into Baskets","https://leetcode.com/problems/fruit-into-baskets/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","1004. Max Consecutive Ones III","https://leetcode.com/problems/max-consecutive-ones-iii/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","1438. Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit","https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","1493. Longest Subarray of 1's After Deleting One Element","https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","1658. Minimum Operations to Reduce X to Zero","https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","1838. Frequency of the Most Frequent Element","https://leetcode.com/problems/frequency-of-the-most-frequent-element/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","2461. Maximum Sum of Distinct Subarrays With Length K","https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","2516. Take K of Each Character From Left and Right","https://leetcode.com/problems/take-k-of-each-character-from-left-and-right/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","2762. Continuous Subarrays","https://leetcode.com/problems/continuous-subarrays/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","2779. Maximum Beauty of an Array After Applying Operation","https://leetcode.com/problems/maximum-beauty-of-an-array-after-applying-operation/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","2981. Find Longest Special Substring That Occurs Thrice I","https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-i/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","3026. Maximum Good Subarray Sum","https://leetcode.com/problems/maximum-good-subarray-sum/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","3346. Maximum Frequency of an Element After Performing Operations I","https://leetcode.com/problems/maximum-frequency-of-an-element-after-performing-operations-i/"
"II. Sliding Window Patterns","Pattern 9: Sliding Window - Variable Size (Condition-Based)","3347. Maximum Frequency of an Element After Performing Operations II","https://leetcode.com/problems/maximum-frequency-of-an-element-after-performing-operations-ii/"
"II. Sliding Window Patterns","Pattern 10: Sliding Window - Monotonic Queue for Max/Min","239. Sliding Window Maximum","https://leetcode.com/problems/sliding-window-maximum/"
"II. Sliding Window Patterns","Pattern 10: Sliding Window - Monotonic Queue for Max/Min","862. Shortest Subarray with Sum at Least K","https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/"
"II. Sliding Window Patterns","Pattern 10: Sliding Window - Monotonic Queue for Max/Min","1696. Jump Game VI","https://leetcode.com/problems/jump-game-vi/"
"II. Sliding Window Patterns","Pattern 11: Sliding Window - Character Frequency Matching","1.TwoSum","https://leetcode.com/problems/twosum/"
"II. Sliding Window Patterns","Pattern 11: Sliding Window - Character Frequency Matching","438. Find All Anagrams in a String","https://leetcode.com/problems/find-all-anagrams-in-a-string/"
"II. Sliding Window Patterns","Pattern 11: Sliding Window - Character Frequency Matching","567. Permutation in String","https://leetcode.com/problems/permutation-in-string/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 12: Tree BFS - Level Order Traversal","102. Binary Tree Level Order Traversal","https://leetcode.com/problems/binary-tree-level-order-traversal/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 12: Tree BFS - Level Order Traversal","103. Binary Tree Zigzag Level Order Traversal","https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 12: Tree BFS - Level Order Traversal","199. Binary Tree Right Side View","https://leetcode.com/problems/binary-tree-right-side-view/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 12: Tree BFS - Level Order Traversal","515. Find Largest Value in Each Tree Row","https://leetcode.com/problems/find-largest-value-in-each-tree-row/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 12: Tree BFS - Level Order Traversal","1161. Maximum Level Sum of a Binary Tree","https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 13: Tree DFS - Recursive Preorder Traversal","100. Same Tree","https://leetcode.com/problems/same-tree/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 13: Tree DFS - Recursive Preorder Traversal","101. Symmetric Tree","https://leetcode.com/problems/symmetric-tree/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 13: Tree DFS - Recursive Preorder Traversal","105. Construct Binary Tree from Preorder and Inorder Traversal","https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 13: Tree DFS - Recursive Preorder Traversal","114. Flatten Binary Tree to Linked List","https://leetcode.com/problems/flatten-binary-tree-to-linked-list/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 13: Tree DFS - Recursive Preorder Traversal","226. Invert Binary Tree","https://leetcode.com/problems/invert-binary-tree/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 13: Tree DFS - Recursive Preorder Traversal","257. Binary Tree Paths","https://leetcode.com/problems/binary-tree-paths/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 13: Tree DFS - Recursive Preorder Traversal","988. Smallest String Starting From Leaf","https://leetcode.com/problems/smallest-string-starting-from-leaf/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 14: Tree DFS - Recursive Inorder Traversal","94. Binary Tree Inorder Traversal","https://leetcode.com/problems/binary-tree-inorder-traversal/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 14: Tree DFS - Recursive Inorder Traversal","98. Validate Binary Search Tree","https://leetcode.com/problems/validate-binary-search-tree/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 14: Tree DFS - Recursive Inorder Traversal","173. Binary Search Tree Iterator","https://leetcode.com/problems/binary-search-tree-iterator/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 14: Tree DFS - Recursive Inorder Traversal","230. Kth Smallest Element in a BST","https://leetcode.com/problems/kth-smallest-element-in-a-bst/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 14: Tree DFS - Recursive Inorder Traversal","501. Find Mode in Binary Search Tree","https://leetcode.com/problems/find-mode-in-binary-search-tree/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 14: Tree DFS - Recursive Inorder Traversal","530. Minimum Absolute Difference in BST","https://leetcode.com/problems/minimum-absolute-difference-in-bst/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 15: Tree DFS - Recursive Postorder Traversal","104. Maximum Depth of Binary Tree","https://leetcode.com/problems/maximum-depth-of-binary-tree/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 15: Tree DFS - Recursive Postorder Traversal","110. Balanced Binary Tree","https://leetcode.com/problems/balanced-binary-tree/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 15: Tree DFS - Recursive Postorder Traversal","124. Binary Tree Maximum Path Sum","https://leetcode.com/problems/binary-tree-maximum-path-sum/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 15: Tree DFS - Recursive Postorder Traversal","145. Binary Tree Postorder Traversal","https://leetcode.com/problems/binary-tree-postorder-traversal/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 15: Tree DFS - Recursive Postorder Traversal","337. House Robber III","https://leetcode.com/problems/house-robber-iii/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 15: Tree DFS - Recursive Postorder Traversal","366. Find Leaves of Binary Tree","https://leetcode.com/problems/find-leaves-of-binary-tree/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 15: Tree DFS - Recursive Postorder Traversal","543. Diameter of Binary Tree","https://leetcode.com/problems/diameter-of-binary-tree/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 15: Tree DFS - Recursive Postorder Traversal","863. All Nodes Distance K in Binary Tree","https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 15: Tree DFS - Recursive Postorder Traversal","1110. Delete Nodes And Return Forest","https://leetcode.com/problems/delete-nodes-and-return-forest/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 15: Tree DFS - Recursive Postorder Traversal","2458. Height of Binary Tree After Subtree Removal Queries","https://leetcode.com/problems/height-of-binary-tree-after-subtree-removal-queries/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 16: Tree - Lowest Common Ancestor (LCA) Finding","235. Lowest Common Ancestor of a Binary Search Tree","https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 16: Tree - Lowest Common Ancestor (LCA) Finding","236. Lowest Common Ancestor of a Binary Tree","https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 17: Tree - Serialization and Deserialization","297. Serialize and Deserialize Binary Tree","https://leetcode.com/problems/serialize-and-deserialize-binary-tree/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 17: Tree - Serialization and Deserialization","572. Subtree of Another Tree","https://leetcode.com/problems/subtree-of-another-tree/"
"III. Tree Traversal Patterns (DFS & BFS)","Pattern 17: Tree - Serialization and Deserialization","652. Find Duplicate Subtrees","https://leetcode.com/problems/find-duplicate-subtrees/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 18: Graph DFS - Connected Components / Island Counting","130. Surrounded Regions","https://leetcode.com/problems/surrounded-regions/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 18: Graph DFS - Connected Components / Island Counting","200. Number of Islands","https://leetcode.com/problems/number-of-islands/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 18: Graph DFS - Connected Components / Island Counting","417. Pacific Atlantic Water Flow","https://leetcode.com/problems/pacific-atlantic-water-flow/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 18: Graph DFS - Connected Components / Island Counting","547. Number of Provinces","https://leetcode.com/problems/number-of-provinces/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 18: Graph DFS - Connected Components / Island Counting","695. Max Area of Island","https://leetcode.com/problems/max-area-of-island/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 18: Graph DFS - Connected Components / Island Counting","733. Flood Fill","https://leetcode.com/problems/flood-fill/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 18: Graph DFS - Connected Components / Island Counting","841. Keys and Rooms","https://leetcode.com/problems/keys-and-rooms/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 18: Graph DFS - Connected Components / Island Counting","1020. Number of Enclaves","https://leetcode.com/problems/number-of-enclaves/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 18: Graph DFS - Connected Components / Island Counting","1254. Number of Closed Islands","https://leetcode.com/problems/number-of-closed-islands/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 18: Graph DFS - Connected Components / Island Counting","1905. Count Sub Islands","https://leetcode.com/problems/count-sub-islands/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 18: Graph DFS - Connected Components / Island Counting","2101. Detonate the Maximum Bombs","https://leetcode.com/problems/detonate-the-maximum-bombs/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 19: Graph BFS - Connected Components / Island Counting","127. Word Ladder","https://leetcode.com/problems/word-ladder/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 19: Graph BFS - Connected Components / Island Counting","542. 01 Matrix","https://leetcode.com/problems/01-matrix/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 19: Graph BFS - Connected Components / Island Counting","994. Rotting Oranges","https://leetcode.com/problems/rotting-oranges/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 19: Graph BFS - Connected Components / Island Counting","1091. Shortest Path in Binary Matrix","https://leetcode.com/problems/shortest-path-in-binary-matrix/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 20: Graph DFS - Cycle Detection (Directed Graph)","207. Course Schedule","https://leetcode.com/problems/course-schedule/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 20: Graph DFS - Cycle Detection (Directed Graph)","210. Course Schedule II","https://leetcode.com/problems/course-schedule-ii/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 20: Graph DFS - Cycle Detection (Directed Graph)","802. Find Eventual Safe States","https://leetcode.com/problems/find-eventual-safe-states/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 20: Graph DFS - Cycle Detection (Directed Graph)","1059. All Paths from Source Lead to Destination","https://leetcode.com/problems/all-paths-from-source-lead-to-destination/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 21: Graph BFS - Topological Sort (Kahn's Algorithm)","207. Course Schedule","https://leetcode.com/problems/course-schedule/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 21: Graph BFS - Topological Sort (Kahn's Algorithm)","210. Course Schedule II","https://leetcode.com/problems/course-schedule-ii/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 21: Graph BFS - Topological Sort (Kahn's Algorithm)","269. Alien Dictionary","https://leetcode.com/problems/alien-dictionary/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 21: Graph BFS - Topological Sort (Kahn's Algorithm)","310. Minimum Height Trees","https://leetcode.com/problems/minimum-height-trees/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 21: Graph BFS - Topological Sort (Kahn's Algorithm)","444. Sequence Reconstruction","https://leetcode.com/problems/sequence-reconstruction/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 21: Graph BFS - Topological Sort (Kahn's Algorithm)","1136. Parallel Courses","https://leetcode.com/problems/parallel-courses/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 21: Graph BFS - Topological Sort (Kahn's Algorithm)","1857. Largest Color Value in a Directed Graph","https://leetcode.com/problems/largest-color-value-in-a-directed-graph/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 21: Graph BFS - Topological Sort (Kahn's Algorithm)","2050. Parallel Courses III","https://leetcode.com/problems/parallel-courses-iii/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 21: Graph BFS - Topological Sort (Kahn's Algorithm)","2115. Find All Possible Recipes from Given Supplies","https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 21: Graph BFS - Topological Sort (Kahn's Algorithm)","2392. Build a Matrix With Conditions","https://leetcode.com/problems/build-a-matrix-with-conditions/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 22: Graph - Deep Copy / Cloning","133. Clone Graph","https://leetcode.com/problems/clone-graph/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 22: Graph - Deep Copy / Cloning","1334. Find the City With the Smallest Number of Neighbors at a Threshold Distance","https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 22: Graph - Deep Copy / Cloning","138. Copy List with Random Pointer","https://leetcode.com/problems/copy-list-with-random-pointer/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 22: Graph - Deep Copy / Cloning","1490. Clone N-ary Tree","https://leetcode.com/problems/clone-n-ary-tree/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 23: Graph - Shortest Path (Dijkstra's Algorithm)","743. Network Delay Time","https://leetcode.com/problems/network-delay-time/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 23: Graph - Shortest Path (Dijkstra's Algorithm)","778. Swim in Rising Water","https://leetcode.com/problems/swim-in-rising-water/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 23: Graph - Shortest Path (Dijkstra's Algorithm)","1514. Path with Maximum Probability","https://leetcode.com/problems/path-with-maximum-probability/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 23: Graph - Shortest Path (Dijkstra's Algorithm)","1631. Path With Minimum Effort","https://leetcode.com/problems/path-with-minimum-effort/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 23: Graph - Shortest Path (Dijkstra's Algorithm)","1976. Number of Ways to Arrive at Destination","https://leetcode.com/problems/number-of-ways-to-arrive-at-destination/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 23: Graph - Shortest Path (Dijkstra's Algorithm)","2045. Second Minimum Time to Reach Destination","https://leetcode.com/problems/second-minimum-time-to-reach-destination/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 23: Graph - Shortest Path (Dijkstra's Algorithm)","2203. Minimum Weighted Subgraph With the Required Paths","https://leetcode.com/problems/minimum-weighted-subgraph-with-the-required-paths/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 23: Graph - Shortest Path (Dijkstra's Algorithm)","2290. Minimum Obstacle Removal to Reach Corner","https://leetcode.com/problems/minimum-obstacle-removal-to-reach-corner/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 23: Graph - Shortest Path (Dijkstra's Algorithm)","2577. Minimum Time to Visit a Cell In a Grid","https://leetcode.com/problems/minimum-time-to-visit-a-cell-in-a-grid/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 23: Graph - Shortest Path (Dijkstra's Algorithm)","2812. Find the Safest Path in a Grid","https://leetcode.com/problems/find-the-safest-path-in-a-grid/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 24: Graph - Shortest Path (Bellman-Ford / BFS+K)","787. Cheapest Flights Within K Stops","https://leetcode.com/problems/cheapest-flights-within-k-stops/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 24: Graph - Shortest Path (Bellman-Ford / BFS+K)","743. Network Delay Time","https://leetcode.com/problems/network-delay-time/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 25: Graph - Union-Find (Disjoint Set Union - DSU)","200. Number of Islands","https://leetcode.com/problems/number-of-islands/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 25: Graph - Union-Find (Disjoint Set Union - DSU)","261. Graph Valid Tree","https://leetcode.com/problems/graph-valid-tree/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 25: Graph - Union-Find (Disjoint Set Union - DSU)","305. Number of Islands II","https://leetcode.com/problems/number-of-islands-ii/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 25: Graph - Union-Find (Disjoint Set Union - DSU)","323. Number of Connected Components in an Undirected Graph","https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 25: Graph - Union-Find (Disjoint Set Union - DSU)","547. Number of Provinces","https://leetcode.com/problems/number-of-provinces/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 25: Graph - Union-Find (Disjoint Set Union - DSU)","684. Redundant Connection","https://leetcode.com/problems/redundant-connection/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 25: Graph - Union-Find (Disjoint Set Union - DSU)","721. Accounts Merge","https://leetcode.com/problems/accounts-merge/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 25: Graph - Union-Find (Disjoint Set Union - DSU)","737. Sentence Similarity II","https://leetcode.com/problems/sentence-similarity-ii/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 25: Graph - Union-Find (Disjoint Set Union - DSU)","947. Most Stones Removed with Same Row or Column","https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 25: Graph - Union-Find (Disjoint Set Union - DSU)","952. Largest Component Size by Common Factor","https://leetcode.com/problems/largest-component-size-by-common-factor/"
